sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	13	309803	0.4189572346674088	1.0	4258005	1783922	1783922	0.14285714285714285	1.0	861	123	123
gsa	6	190304	0.9977753395246771	0.9994842322771821	2149991	2145208	2146315	0.9714285714285714	0.9855072463768116	70	68	69
gsa	2	391037	0.5041040497800223	0.9992709796843945	9935552	5008552	5012206	0.4973918379871126	0.9981527093596059	3259	1621	1624
gsa	33	224325	1.0	0.998847231566441	2232911	2232911	2235488	1.0	0.9692307692307692	63	63	65
gsa	31	379066	0.9989509069335103	0.9986810587260059	4633526	4628665	4634778	0.968421052631579	0.9583333333333334	95	92	96
gsa	34	300852	0.9972254517989214	0.9981969899926574	1885352	1880121	1883517	0.9428571428571428	0.9428571428571428	35	33	35
gsa	5	243230	0.9937386195328142	0.9968590058767801	3178692	3158789	3168742	0.943502824858757	0.9653179190751445	177	167	173
gsa	38	240015	0.9867182398683376	0.9967995428960453	4154871	4099687	4112850	0.8762886597938144	0.9139784946236559	97	85	93
gsa	11	257310	0.9900851854199946	0.996698301160992	5315581	5262878	5280312	0.9529780564263323	0.9743589743589743	319	304	312
gsa	17	273063	0.9874196503829662	0.996471778667353	2728700	2694372	2703912	0.910828025477707	0.9862068965517241	157	143	145
gsa	36	453591	1.0	0.9952122108559515	1297907	1297907	1304151	1.0	0.9090909090909091	30	30	33
gsa	26	380749	1.0	0.9950321724744027	1542073	1542073	1549772	1.0	0.9166666666666666	33	33	36
gsa	23	410359	0.9902853778485835	0.9948269689792099	2194424	2173106	2184406	0.8870967741935484	0.9322033898305084	62	55	59
gsa	1	402882	0.4909245890927543	0.9943596749139643	5754340	2824947	2840971	0.48194444444444445	0.9871977240398293	1440	694	703
gsa	35	246200	1.0	0.9939283569584495	4066637	4066637	4091479	1.0	0.8732394366197183	62	62	71
gsa	21	243232	1.0	0.9931775744256505	1671206	1671206	1682686	1.0	0.9324324324324325	69	69	74
gsa	15	324602	0.9670860232328131	0.9925122342824804	5253604	5080687	5119017	0.9207317073170732	0.9536842105263158	492	453	475
gsa	10	349741	1.0	0.9922371788334997	2636909	2636909	2657539	1.0	0.82	41	41	50
gsa	32	178306	0.9955274330901593	0.9900945035045362	2252845	2242769	2265207	0.9696969696969697	0.9230769230769231	99	96	104
gsa	30	194439	0.9792840785119674	0.9843027432074012	2320003	2271942	2308174	0.8275862068965517	0.9	87	72	80
gsa	22	436114	0.9968235922420862	0.9815442322088461	1861222	1855310	1890195	0.96875	0.8857142857142857	96	93	105
gsa	12	402880	0.4960424691385854	0.9814264752449636	3548930	1760420	1793736	0.46657929226736566	0.9468085106382979	763	356	376
gsa	14	226186	0.5115357174585095	0.9806891031591802	11616616	5942314	6059325	0.549800796812749	0.9530386740331491	1255	690	724
gsa	29	290318	0.9929634800840053	0.9731253284514854	1986067	1972092	2026555	0.9215686274509803	0.8245614035087719	51	47	57
gsa	8	324925	0.27468558121624453	0.9726958958411646	10673265	2931792	3014089	0.2647058823529412	0.9174757281553398	714	189	206
gsa	16	198628	0.9978459773851025	0.9698028099361844	4700972	4690846	4836907	0.9864864864864865	0.8622047244094488	222	219	254
gsa	20	243275	0.9952942095553966	0.9670809495763149	2816105	2802853	2898261	0.9574468085106383	0.703125	94	90	128
gsa	4	316274	0.999216302776953	0.9662248198716947	5974246	5969564	6178235	0.9946018893387314	0.9340937896070975	741	737	789
gsa	3	243090	0.997885164603959	0.9651857734550643	6627939	6613922	6852486	0.9929467084639498	0.9657012195121951	1276	1267	1312
gsa	27	431947	0.9973602668073023	0.9526547635427204	2131276	2125650	2231291	0.9802631578947368	0.8232044198895028	152	149	181
gsa	25	226185	0.9935536647931829	0.9479177478369581	3060964	3041232	3208329	0.900990099009901	0.883495145631068	101	91	103
gsa	18	340099	0.5113842803655263	0.9388882764943739	4197235	2146400	2286108	0.6436781609195402	0.7887323943661971	174	112	142
gsa	24	228410	0.9932570738637029	0.930375410891989	2560906	2543638	2733991	0.9405940594059405	0.6643356643356644	101	95	143
gsa	19	203119	0.9911429049595218	0.9270839101982404	3411841	3381622	3647590	0.9159663865546218	0.6337209302325582	119	109	172
gsa	9	351627	0.3593378623501674	0.8656293687836014	6708152	2410493	2784671	0.5014084507042254	0.7789934354485777	710	356	457
gsa	7	521460	0.37502454531463114	0.10230500143870311	753708	282659	2762905	0.3979591836734694	0.17488789237668162	196	78	446
gsa	37	243090	1.0	0.03407566246760665	233503	233503	6852486	1.0	0.03201219512195122	42	42	1312
gsa	28	226185	0.42284288194444447	0.03036565140295774	230400	97423	3208329	0.18421052631578946	0.06796116504854369	38	7	103
