sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	369723	369723	1.0	1.0	4829418	4829418	4829418	1.0	1.0	1590	1590	1590
gsa	178306	178306	1.0	1.0	2265207	2265207	2265207	1.0	1.0	104	104	104
gsa	324925	324925	1.0	1.0	3014089	3014089	3014089	1.0	1.0	206	206	206
gsa	243230	243230	1.0	1.0	3168742	3168742	3168742	1.0	1.0	173	173	173
gsa	228410	228410	1.0	1.0	2733991	2733991	2733991	1.0	1.0	143	143	143
gsa	340099	340099	1.0	1.0	2286108	2286108	2286108	1.0	1.0	142	142	142
gsa	243232	243232	1.0	1.0	1682686	1682686	1682686	1.0	1.0	74	74	74
gsa	194439	194439	1.0	1.0	2308174	2308174	2308174	1.0	1.0	80	80	80
gsa	410359	410359	1.0	1.0	2184406	2184406	2184406	1.0	1.0	59	59	59
gsa	290318	290318	1.0	1.0	2026555	2026555	2026555	1.0	1.0	57	57	57
gsa	198628	198628	1.0	1.0	4836907	4836907	4836907	1.0	1.0	254	254	254
gsa	349741	349741	1.0	1.0	2657539	2657539	2657539	1.0	1.0	50	50	50
gsa	390874	390874	1.0	1.0	1360402	1360402	1360402	1.0	1.0	369	369	369
gsa	436114	436114	1.0	1.0	1890195	1890195	1890195	1.0	1.0	105	105	105
gsa	190304	190304	1.0	1.0	2146315	2146315	2146315	1.0	1.0	69	69	69
gsa	243275	243275	1.0	1.0	2898261	2898261	2898261	1.0	1.0	128	128	128
gsa	453591	453591	1.0	1.0	1304151	1304151	1304151	1.0	1.0	33	33	33
gsa	264203	264203	1.0	1.0	2051095	2051095	2051095	1.0	1.0	25	25	25
gsa	240015	240015	1.0	1.0	4112850	4112850	4112850	1.0	1.0	93	93	93
gsa	380749	380749	1.0	1.0	1549772	1549772	1549772	1.0	1.0	36	36	36
gsa	515635	515635	1.0	1.0	1843217	1843217	1843217	1.0	1.0	29	29	29
gsa	123214	123214	1.0	1.0	1928041	1928041	1928041	1.0	1.0	19	19	19
gsa	246200	246200	1.0	1.0	4091479	4091479	4091479	1.0	1.0	71	71	71
gsa	267377	267377	1.0	1.0	1737283	1737283	1737283	1.0	1.0	380	380	380
gsa	126740	126740	1.0	1.0	1088662	1088662	1088662	1.0	1.0	348	348	348
gsa	379066	379066	1.0	1.0	4634778	4634778	4634778	1.0	1.0	96	96	96
gsa	290315	290315	1.0	1.0	2781039	2781039	2781039	1.0	1.0	196	196	196
gsa	316274	316274	1.0	1.0	6178235	6178235	6178235	1.0	1.0	789	789	789
gsa	391037	391037	1.0	1.0	5012206	5012206	5012206	1.0	1.0	1624	1624	1624
gsa	226185	226185	1.0	1.0	3208329	3208329	3208329	1.0	1.0	103	103	103
gsa	203119	203119	1.0	1.0	3647590	3647590	3647590	1.0	1.0	172	172	172
gsa	226186	226186	1.0	1.0	6059325	6059325	6059325	1.0	1.0	724	724	724
gsa	407976	407976	1.0	1.0	2779346	2779346	2779346	1.0	1.0	686	686	686
gsa	324602	324602	1.0	1.0	5119017	5119017	5119017	1.0	1.0	475	475	475
gsa	290317	290317	1.0	1.0	2988698	2988698	2988698	1.0	1.0	331	331	331
gsa	521460	521460	1.0	1.0	2762905	2762905	2762905	1.0	1.0	446	446	446
gsa	435590	435590	1.0	1.0	4999157	4999157	4999157	1.0	1.0	405	405	405
gsa	309803	309803	1.0	1.0	1783922	1783922	1783922	1.0	1.0	123	123	123
gsa	402882	402882	1.0	1.0	2840971	2840971	2840971	1.0	1.0	703	703	703
gsa	351627	351627	1.0	1.0	2784671	2784671	2784671	1.0	1.0	457	457	457
gsa	273063	273063	1.0	1.0	2703912	2703912	2703912	1.0	1.0	145	145	145
gsa	224325	224325	1.0	1.0	2235488	2235488	2235488	1.0	1.0	65	65	65
gsa	402880	402880	1.0	1.0	1793736	1793736	1793736	1.0	1.0	376	376	376
gsa	431947	431947	1.0	1.0	2231291	2231291	2231291	1.0	1.0	181	181	181
gsa	243090	243090	1.0	1.0	6852486	6852486	6852486	1.0	1.0	1312	1312	1312
gsa	257310	257310	1.0	1.0	5280312	5280312	5280312	1.0	1.0	312	312	312
gsa	300852	300852	1.0	1.0	1883517	1883517	1883517	1.0	1.0	35	35	35
