sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	12	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	1	evo_1049056.013	0.20233617455664935	0.9992065627981791	17358720	3512297	3515086	0.07570977917981073	0.9230769230769231	317	24	26
gsa	2	evo_1286_AP.008	0.2148564057580725	0.9988203079610891	15731167	3379942	3383934	0.208955223880597	0.7777777777777778	67	14	18
gsa	6	1035900	0.9990167048868366	0.9988056230508432	7277571	7270415	7279109	0.967032967032967	0.9361702127659575	91	88	94
gsa	21	1036554	1.0	0.9979476469275123	2651011	2651011	2656463	1.0	0.84	21	21	25
gsa	4	1030836	0.5115924308649041	0.9973798338472055	9548515	4884948	4897781	0.5535714285714286	0.8985507246376812	112	62	69
gsa	16	1220_AD	1.0	0.9973502646718715	3471502	3471502	3480725	1.0	0.7073170731707317	29	29	41
gsa	3	1052947	0.46193163571053614	0.9966207570141999	10284931	4750935	4767044	0.32608695652173914	0.9375	138	45	48
gsa	11	1030755	1.0	0.9954222560351311	4593811	4593811	4614937	1.0	0.8505747126436781	74	74	87
gsa	22	1036641	0.9993393951744935	0.9954042388199271	2620326	2618595	2630685	0.9928571428571429	0.9328859060402684	140	139	149
gsa	7	1139_AG	1.0	0.9927699433882129	7225194	7225194	7277813	1.0	0.44776119402985076	30	30	67
gsa	18	1036608	0.9992469987134508	0.9926471794522328	3148733	3146362	3169668	0.984375	0.8181818181818182	64	63	77
gsa	10	1030752	1.0	0.9922347628646188	6228974	6228974	6277722	1.0	0.7738095238095238	65	65	84
gsa	17	1030878	1.0	0.9914689743701253	3260181	3260181	3288233	1.0	0.6818181818181818	15	15	22
gsa	5	evo_1035930.029	0.2636425063605965	0.9912421801478362	9069118	2391005	2412130	0.2545454545454545	0.9491525423728814	220	56	59
gsa	19	1049089	1.0	0.9910997350117099	3096482	3096482	3124289	1.0	0.7037037037037037	19	19	27
gsa	9	1036755	1.0	0.9844059225191127	6362940	6362940	6463736	1.0	0.8532110091743119	93	93	109
gsa	23	1048783	0.9970571122455729	0.9764657193868057	2373519	2366534	2423571	0.9464285714285714	0.7361111111111112	56	53	72
gsa	14	1049005	1.0	0.9538486593783145	3918251	3918251	4107833	1.0	0.6956521739130435	16	16	23
gsa	15	1036728	0.5285107316000914	0.9509593918642616	3621268	1913879	2012577	0.4208	0.7735294117647059	625	263	340
gsa	8	1365_A	0.8787410175834249	0.85555476059219	6831263	6002911	7016396	0.9784615384615385	0.5522750955192776	1625	1590	2879
gsa	13	1036707	0.5509527164320069	0.5733565998578138	4167452	2296069	4004609	0.3958041958041958	0.37236842105263157	715	283	760
gsa	20	1036743	0.9623820591624386	0.5472843975590037	2899441	2790370	5098574	0.9456662354463131	0.3851422550052687	773	731	1898
gsa	24	1048993	0.9654441491304702	0.5164386875470093	1943694	1876528	3633593	0.9710806697108066	0.25643086816720256	657	638	2488
gsa	25	1052944	0.7273219089682066	0.22777567469214424	1624773	1181733	5188144	0.7777777777777778	0.15053763440860216	18	14	93
