sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	16	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	10	1049005	0.9984580148107386	1.0	4114177	4107833	4107833	0.9583333333333334	1.0	24	23	23
gsa	6	evo_1035930.029	0.9966062675388292	1.0	2420344	2412130	2412130	0.9365079365079365	1.0	63	59	59
gsa	1	1036554	0.9960864785470835	0.9997154110559793	2666141	2655707	2656463	0.96	0.96	25	24	25
gsa	5	1035900	0.9943586957205021	0.9996213822323584	7317634	7276353	7279109	0.8761904761904762	0.9787234042553191	105	92	94
gsa	8	evo_1286_AP.026	0.9968954913799718	0.9994571679677403	3219189	3209195	3210938	0.9375	0.8823529411764706	16	15	17
gsa	21	1049089	0.9995865745037612	0.9983013735285052	3120272	3118982	3124289	0.9583333333333334	0.8518518518518519	24	23	27
gsa	2	1220_AD	0.9973316307826747	0.9980983846756064	3483401	3474106	3480725	0.96875	0.7560975609756098	32	31	41
gsa	4	1030752	1.0	0.9952103645239467	6247654	6247654	6277722	1.0	0.8095238095238095	68	68	84
gsa	7	evo_1035930.032	1.0	0.9944697452666449	2282140	2282140	2294831	1.0	0.9655172413793104	56	56	58
gsa	14	evo_1049056.031	0.7630094210801647	0.9933997750253223	4394719	3353212	3375491	0.043478260869565216	0.8571428571428571	690	30	35
gsa	3	1139_AG	1.0	0.9923981283937908	7222488	7222488	7277813	1.0	0.44776119402985076	30	30	67
gsa	13	1036755	0.9951590710733842	0.9913907374929917	6439260	6408088	6463736	0.9439252336448598	0.926605504587156	107	101	109
gsa	23	1036608	0.9330690485569801	0.9908835878079345	3366066	3140772	3169668	0.4	0.8051948051948052	155	62	77
gsa	20	1030755	0.9953466302102978	0.9904332388502811	4592156	4570787	4614937	0.9512195121951219	0.896551724137931	82	78	87
gsa	19	1036641	0.9948093829792556	0.9826516667712022	2598535	2585047	2630685	0.965034965034965	0.9261744966442953	143	138	149
gsa	12	evo_1286_AP.033	0.9877264355675335	0.9785952296335605	3069361	3031689	3098001	0.9230769230769231	0.7058823529411765	13	12	17
gsa	22	1048783	0.8983950665066893	0.9769084545078316	2635374	2367607	2423571	0.4700854700854701	0.7638888888888888	117	55	72
gsa	18	evo_1035930.011	0.9428379732856836	0.9689826478331022	2323623	2190800	2260928	0.8421052631578947	0.8571428571428571	57	48	56
gsa	26	1036707	0.9041535491731102	0.9084347560523387	4023571	3637926	4004609	0.8071942446043165	0.7381578947368421	695	561	760
gsa	11	1035930	1.0	0.8493241016996667	1866281	1866281	2197372	1.0	0.8	48	48	60
gsa	24	1365_A	0.6124506661211213	0.8392652011089454	9614843	5888617	7016396	0.8305647840531561	0.6078499478985759	2107	1750	2879
gsa	25	1036728	0.995520413099182	0.8119406114648036	1641446	1634093	2012577	0.9777777777777777	0.6470588235294118	225	220	340
gsa	27	1036743	0.9634105069705491	0.79004580496429	4181091	4028107	5098574	0.9436379163108455	0.5821917808219178	1171	1105	1898
gsa	17	1030836	0.9934298274793077	0.6945214577785328	3424111	3401614	4897781	0.7021276595744681	0.4782608695652174	47	33	69
gsa	28	1048993	0.9320805170070456	0.6607644279367557	2575903	2400949	3633593	0.9555984555984556	0.3979099678456592	1036	990	2488
gsa	9	1049056	0.9373943167187169	0.3418908501269773	1189876	1115383	3262395	0.4857142857142857	0.5	35	17	34
gsa	15	1052944	0.3539032491209264	0.050399526304589846	738846	261480	5188144	0.42	0.22580645161290322	50	21	93
